날짜,종가,거래량
2024-07-16,9800.0,800421
2024-07-16,9800.0,800421
2024-07-16,9800.0,800421
2024-07-16,9800.0,800421
2024-07-16,9800.0,800421
2024-07-17,9860.0,601903
2024-07-17,9860.0,601903
2024-07-17,9860.0,601903
2024-07-17,9860.0,601903
2024-07-17,9860.0,601903
2024-07-18,9400.0,224422
2024-07-18,9400.0,224422
2024-07-18,9400.0,224422
2024-07-18,9400.0,224422
2024-07-18,9400.0,224422
2024-07-19,9450.0,175619
2024-07-19,9450.0,175619
2024-07-19,9450.0,175619
2024-07-19,9450.0,175619
2024-07-19,9450.0,175619
2024-07-22,9490.0,124321
2024-07-22,9490.0,124321
2024-07-22,9490.0,124321
2024-07-22,9490.0,124321
2024-07-22,9490.0,124321
2024-07-23,9635.0,168152
2024-07-24,9670.0,165089
2024-07-25,9305.0,154895
2024-07-26,9140.0,131674
2024-07-29,9335.0,113553
2024-07-30,9340.0,102190
2024-07-31,9300.0,124372
2024-08-01,9545.0,182326
2024-08-02,9250.0,111244
2024-08-05,8585.0,147761
2024-08-06,8830.0,110989
2024-08-07,9015.0,123257
2024-08-08,9050.0,79277
2024-08-09,9180.0,170560
2024-08-12,9235.0,93391
2024-08-13,9200.0,94354
2024-08-14,9280.0,112440
2024-08-16,9400.0,135079
2024-08-19,9170.0,95551
2024-08-20,9225.0,100730
2024-08-21,9165.0,107635
2024-08-22,9275.0,92268
2024-08-23,9220.0,75557
2024-08-26,9230.0,90836
2024-08-27,9250.0,107470
2024-08-28,9290.0,101510
2024-08-29,9165.0,201853
2024-08-30,9315.0,88626
2024-09-02,9490.0,94328
2024-09-03,9475.0,104271
2024-09-04,9115.0,103835
2024-09-05,9135.0,96829
2024-09-06,8995.0,96793
2024-09-09,8945.0,77053
2024-09-10,9110.0,108692
2024-09-11,9175.0,127070
2024-09-12,9400.0,87976
2024-09-13,9505.0,100336
2024-09-19,9785.0,549100
2024-09-20,9885.0,174114
2024-09-23,10530.0,347660
2024-09-24,10650.0,184565
2024-09-25,10670.0,183740
2024-09-26,10890.0,173155
2024-09-27,10695.0,113949
2024-09-30,10615.0,107831
2024-10-02,10755.0,64465
2024-10-04,11090.0,148463
2024-10-07,11565.0,74781
2024-10-08,11420.0,48388
2024-10-10,11280.0,41789
2024-10-11,11170.0,24168
2024-10-14,11440.0,43192
2024-10-15,11705.0,162949
2024-10-16,11650.0,55639
2024-10-17,12400.0,233750
2024-10-18,12395.0,194345
2024-10-21,12695.0,402900
2024-10-22,12840.0,427342
2024-10-23,12600.0,238894
2024-10-24,12400.0,207461
2024-10-25,12560.0,158910
2024-10-28,12595.0,232557
2024-10-29,13070.0,338823
2024-10-30,12960.0,300757
2024-10-31,12700.0,166444
2024-11-01,12725.0,210013
2024-11-04,12370.0,285869
2024-11-05,12000.0,182625
2024-11-06,12845.0,449520
2024-11-07,13075.0,532469
2024-11-08,13255.0,370725
2024-11-11,13565.0,601323
2024-11-12,13670.0,361389
2024-11-13,13325.0,342150
2024-11-14,13415.0,427484
2024-11-15,13035.0,263365
2024-11-18,13025.0,240265
2024-11-19,13275.0,309807
2024-11-20,13605.0,368037
2024-11-21,13620.0,310007
2024-11-22,14220.0,328983
2024-11-25,14385.0,491598
2024-11-26,13860.0,506234
2024-11-27,14045.0,362941
2024-11-28,13800.0,353085
2024-11-29,13860.0,276655
2024-12-02,14105.0,366553
2024-12-03,13750.0,437285
2024-12-04,13630.0,372269
2024-12-05,13695.0,312954
2024-12-06,13800.0,280388
2024-12-09,13985.0,316524
2024-12-10,13370.0,349553
2024-12-11,13035.0,368217
2024-12-12,13320.0,245491
2024-12-13,13275.0,201794
2024-12-16,13125.0,369026
2024-12-17,13190.0,390713
2024-12-18,12950.0,292442
2024-12-19,12570.0,279498
2024-12-20,12885.0,208093
2024-12-23,13310.0,236227
2024-12-24,13245.0,186855
2024-12-26,13430.0,255647
2024-12-27,13550.0,240702
2024-12-30,13190.0,238985
2025-01-02,13030.0,240186
2025-01-03,13300.0,281267
2025-01-06,14050.0,423242
2025-01-07,14360.0,320906
2025-01-08,14150.0,262261
2025-01-09,13770.0,217068
2025-01-10,13875.0,528007
2025-01-13,14120.0,594077
2025-01-14,13760.0,639111
2025-01-15,13870.0,308036
2025-01-16,14340.0,717462
2025-01-17,14455.0,322810
2025-01-20,14550.0,395622
2025-01-21,14525.0,330815
2025-01-22,15520.0,831787
2025-01-23,15430.0,622906
2025-01-24,15940.0,1556142
2025-01-31,15240.0,1605160
2025-02-03,14240.0,1639545
2025-02-04,14620.0,937957
2025-02-05,14305.0,385920
2025-02-06,14750.0,1183910
2025-02-07,14570.0,1127308
