날짜,종가,거래량,분배금,배당락일
2024-07-16,11025.0,33912,-,-
2024-07-17,11035.0,36344,-,-
2024-07-18,11025.0,22715,-,-
2024-07-19,11050.0,38475,-,-
2024-07-22,11050.0,55594,-,-
2024-07-23,11070.0,46805,-,-
2024-07-24,11055.0,30262,-,-
2024-07-25,11040.0,51593,-,-
2024-07-26,11040.0,32150,-,-
2024-07-29,11040.0,64695,-,-
2024-07-30,10995.0,23500,-,-
2024-07-31,10925.0,59577,-,-
2024-08-01,10870.0,47244,-,-
2024-08-02,10835.0,46427,-,-
2024-08-05,10870.0,133394,-,-
2024-08-06,10830.0,47430,-,-
2024-08-07,10880.0,25958,-,-
2024-08-08,10900.0,28657,-,-
2024-08-09,10840.0,31085,-,-
2024-08-12,10900.0,31242,-,-
2024-08-13,10895.0,23821,-,-
2024-08-14,10870.0,29697,-,-
2024-08-16,10875.0,32748,-,-
2024-08-19,10700.0,51963,-,-
2024-08-20,10730.0,44514,-,-
2024-08-21,10745.0,63629,-,-
2024-08-22,10755.0,63387,-,-
2024-08-23,10780.0,22740,-,-
2024-08-26,10730.0,35661,-,-
2024-08-27,10735.0,15447,-,-
2024-08-28,10810.0,34135,-,-
2024-08-29,10725.0,16452,-,-
2024-08-30,10745.0,20342,-,-
2024-09-02,10775.0,68082,-,-
2024-09-03,10800.0,20488,-,-
2024-09-04,10710.0,53117,-,-
2024-09-05,10745.0,13860,-,-
2024-09-06,10700.0,25786,-,-
2024-09-09,10790.0,36987,-,-
2024-09-10,10855.0,37405,-,-
2024-09-11,10805.0,37653,-,-
2024-09-12,10820.0,21064,-,-
2024-09-13,10740.0,20575,-,-
2024-09-19,10815.0,75917,-,-
2024-09-20,10855.0,25111,-,-
2024-09-23,10915.0,32649,-,-
2024-09-24,10875.0,35108,-,-
2024-09-25,10860.0,42113,-,-
2024-09-26,10830.0,22111,-,-
2024-09-27,10705.0,29808,-,-
2024-09-30,10625.0,41785,-,-
2024-10-02,10680.0,23043,-,-
2024-10-04,10820.0,66854,-,-
