날짜,종가,거래량
2024-07-16,7280.0,62035
2024-07-17,7115.0,193693
2024-07-18,7155.0,142862
2024-07-19,7190.0,198610
2024-07-22,7050.0,80014
2024-07-23,7075.0,34165
2024-07-24,6950.0,64215
2024-07-25,6820.0,105645
2024-07-26,6860.0,51982
2024-07-29,6975.0,52312
2024-07-30,6995.0,79053
2024-07-31,7135.0,91813
2024-08-01,7130.0,63752
2024-08-02,7070.0,171052
2024-08-05,6400.0,186121
2024-08-06,6570.0,214789
2024-08-07,7050.0,320600
2024-08-08,7045.0,116156
2024-08-09,6875.0,160814
2024-08-12,6850.0,82684
2024-08-13,6730.0,103944
2024-08-14,6430.0,814968
2024-08-16,6495.0,274143
2024-08-19,6530.0,122338
2024-08-20,6580.0,75740
2024-08-21,6585.0,57505
2024-08-22,6780.0,92013
2024-08-23,6715.0,106289
2024-08-26,6705.0,39912
2024-08-27,6645.0,50480
2024-08-28,6675.0,62408
2024-08-29,6610.0,67043
2024-08-30,6620.0,53309
2024-09-02,6540.0,30195
2024-09-03,6500.0,37362
2024-09-04,6040.0,271650
2024-09-05,6120.0,66169
2024-09-06,5910.0,99483
2024-09-09,5905.0,81972
2024-09-10,5860.0,56193
2024-09-11,6025.0,83338
2024-09-12,6095.0,37461
2024-09-13,6035.0,66090
2024-09-19,6030.0,70305
2024-09-20,5970.0,85294
2024-09-23,6020.0,48624
2024-09-24,6310.0,82639
2024-09-25,6240.0,96730
2024-09-26,6560.0,98124
2024-09-27,6765.0,126455
2024-09-30,6675.0,73061
2024-10-02,6645.0,38797
2024-10-04,6745.0,35418
2024-10-07,6730.0,55322
2024-10-08,6830.0,100950
2024-10-10,6790.0,36629
2024-10-11,6680.0,27407
2024-10-14,6855.0,52634
2024-10-15,6915.0,32083
2024-10-16,6765.0,30238
2024-10-17,6960.0,71551
2024-10-18,6840.0,56890
2024-10-21,6975.0,108457
2024-10-22,7165.0,126004
2024-10-23,7335.0,148187
2024-10-24,7250.0,115034
2024-10-25,7165.0,141510
2024-10-28,7250.0,84717
2024-10-29,7240.0,51674
2024-10-30,7030.0,42134
2024-10-31,6975.0,55922
2024-11-01,7100.0,83112
2024-11-04,7475.0,299151
2024-11-05,7715.0,1504268
2024-11-06,7710.0,170655
2024-11-07,7620.0,155702
2024-11-08,7635.0,72055
2024-11-11,7570.0,118824
2024-11-12,7320.0,107622
2024-11-13,7475.0,203289
2024-11-14,7660.0,193950
2024-11-15,7915.0,164961
2024-11-18,8005.0,146301
2024-11-19,8380.0,419907
2024-11-20,8370.0,201855
2024-11-21,8290.0,215397
2024-11-22,8455.0,186177
2024-11-25,8520.0,362085
2024-11-26,8630.0,233389
2024-11-27,8855.0,419644
2024-11-28,8610.0,406045
2024-11-29,8665.0,492765
2024-12-02,8695.0,505441
2024-12-03,8665.0,335863
2024-12-04,8560.0,549820
2024-12-05,8230.0,287569
2024-12-06,8205.0,310154
2024-12-09,7770.0,315459
2024-12-10,8140.0,267064
2024-12-11,8195.0,193298
2024-12-12,8250.0,164273
2024-12-13,8620.0,265322
2024-12-16,8515.0,154274
2024-12-17,8220.0,165646
2024-12-18,8410.0,103574
2024-12-19,8420.0,167385
2024-12-20,8205.0,151724
2024-12-23,8290.0,114695
2024-12-24,8070.0,153261
2024-12-26,8180.0,246106
2024-12-27,8060.0,174761
2024-12-30,8175.0,116151
2025-01-02,7975.0,621535
2025-01-03,8120.0,129032
2025-01-06,8050.0,214295
2025-01-07,8255.0,258742
2025-01-08,8145.0,107727
2025-01-09,8020.0,124162
2025-01-10,8300.0,165386
2025-01-13,8375.0,206672
2025-01-14,8770.0,449718
2025-01-15,8800.0,339089
2025-01-16,8805.0,229102
2025-01-17,8850.0,340949
2025-01-20,8760.0,157107
2025-01-21,8715.0,164213
2025-01-22,8785.0,361487
2025-01-23,8770.0,345800
2025-01-24,8975.0,785803
2025-01-31,9000.0,1206165
2025-02-03,9055.0,420018
2025-02-04,9365.0,358491
2025-02-05,9440.0,442302
2025-02-06,9415.0,664269
2025-02-07,9395.0,332832
2025-02-10,9575.0,705340
2025-02-11,9930.0,844237
2025-02-12,9955.0,647474
2025-02-13,9840.0,502723
2025-02-14,9730.0,433895
2025-02-17,9485.0,1069265
2025-02-18,9610.0,436372
2025-02-19,9885.0,594556
2025-02-20,10365.0,1835507
2025-02-21,10200.0,720135
2025-02-24,10195.0,532290
2025-02-25,10420.0,804034
2025-02-26,10375.0,1099019
2025-02-27,10650.0,782363
2025-02-28,10570.0,1066607
2025-03-04,10600.0,626711
2025-03-05,10385.0,752344
2025-03-06,10265.0,605521
2025-03-07,10330.0,451392
2025-03-10,9880.0,1266353
2025-03-11,9795.0,737268
2025-03-12,9725.0,570750
2025-03-13,9635.0,501425
2025-03-14,9590.0,440107
